#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163512.282;20180524-163513.000;33.647084;-117.842162;4;255.6;336.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163512.749;20180524-163513.000;33.647084;-117.842162;4;255.6;286.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163513.263;20180524-163514.000;33.647084;-117.842162;4;231.7;321.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163513.764;20180524-163514.000;33.647084;-117.842162;4;231.7;280.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163514.165;20180524-163515.000;33.647084;-117.842162;4;252.9;313.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163514.701;20180524-163516.000;33.647084;-117.842162;3;258.1;322.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163515.204;20180524-163516.000;33.647084;-117.842162;3;258.1;336.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163515.736;20180524-163517.000;33.647084;-117.842162;3;277.6;325.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163516.240;20180524-163517.000;33.647084;-117.842162;3;277.6;346.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163516.742;20180524-163518.000;33.647084;-117.842162;3;294.2;319.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163517.240;20180524-163518.000;33.647084;-117.842162;3;294.2;351.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163517.745;20180524-163519.000;33.647084;-117.842162;3;302.2;311.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163518.243;20180524-163519.000;33.647084;-117.842162;3;302.2;333.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163518.742;20180524-163520.000;33.647084;-117.842162;3;304;287.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163519.244;20180524-163520.000;33.647084;-117.842162;3;304;333.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163519.746;20180524-163521.000;33.647084;-117.842162;3;305.7;281.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163520.252;20180524-163521.000;33.647084;-117.842162;3;305.7;338;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
